,x,y,hue,year
0,,,0,1948
1,4.048189163208008,-6.4131646156311035,1,1948
2,,,2,1948
3,,,3,1948
4,-3.0938665866851807,3.489086627960205,4,1948
5,,,0,1951
6,6.751612663269043,-7.999574661254883,1,1951
7,,,2,1951
8,,,3,1951
9,,,4,1951
10,9.244878768920898,4.14363956451416,0,1957
11,6.751612663269043,-7.999574661254883,1,1957
12,,,2,1957
13,,,3,1957
14,,,4,1957
15,9.244878768920898,4.14363956451416,0,1958
16,,,1,1958
17,-3.9081811904907227,7.624569416046143,2,1958
18,,,3,1958
19,,,4,1958
20,10.22215747833252,3.0074453353881836,0,1959
21,,,1,1959
22,-3.9081811904907227,7.624569416046143,2,1959
23,,,3,1959
24,,,4,1959
25,-12.671186447143555,-3.0738484859466553,0,1960
26,6.714987277984619,-7.976822376251221,1,1960
27,,,2,1960
28,,,3,1960
29,,,4,1960
30,3.7672977447509766,1.1426275968551636,0,1961
31,6.714987277984619,-7.976822376251221,1,1961
32,,,2,1961
33,,,3,1961
34,,,4,1961
35,10.047198295593262,3.3516476154327393,0,1962
36,,,1,1962
37,,,2,1962
38,,,3,1962
39,,,4,1962
40,10.29235553741455,2.9190030097961426,0,1963
41,,,1,1963
42,,,2,1963
43,,,3,1963
44,,,4,1963
45,10.29235553741455,2.9190030097961426,0,1964
46,,,1,1964
47,-3.6991169452667236,8.105515480041504,2,1964
48,,,3,1964
49,,,4,1964
50,,,0,1965
51,6.756313323974609,-8.002758979797363,1,1965
52,-3.3193116188049316,6.347965240478516,2,1965
53,,,3,1965
54,,,4,1965
55,-14.89680004119873,-2.0144364833831787,0,1967
56,6.756313323974609,-8.002758979797363,1,1967
57,-3.3193116188049316,6.347965240478516,2,1967
58,,,3,1967
59,,,4,1967
60,-0.268524169921875,0.1962539553642273,0,1969
61,,,1,1969
62,-3.5847065448760986,8.032156944274902,2,1969
63,,,3,1969
64,,,4,1969
65,2.1438682079315186,0.4857892096042633,0,1970
66,5.00983190536499,-6.755597114562988,1,1970
67,-3.5847065448760986,8.032156944274902,2,1970
68,1.7016443014144897,-3.484949827194214,3,1970
69,,,4,1970
70,0.014396925456821918,0.8350396752357483,0,1971
71,5.00983190536499,-6.755597114562988,1,1971
72,,,2,1971
73,1.7016443014144897,-3.484949827194214,3,1971
74,,,4,1971
75,-0.46113157272338867,-0.13645082712173462,0,1972
76,4.036928653717041,-6.42492151260376,1,1972
77,,,2,1972
78,1.5467830896377563,-4.475128173828125,3,1972
79,-2.5346508026123047,2.0342748165130615,4,1972
80,-5.151859283447266,-1.1074762344360352,0,1973
81,5.4335832595825195,-6.443343639373779,1,1973
82,,,2,1973
83,1.7294785976409912,-3.3250937461853027,3,1973
84,-2.5346508026123047,2.0342748165130615,4,1973
85,-0.2669363021850586,1.3804831504821777,0,1975
86,5.4335832595825195,-6.443343639373779,1,1975
87,,,2,1975
88,1.7721920013427734,-2.8779664039611816,3,1975
89,,,4,1975
90,11.340740203857422,3.220038414001465,0,1976
91,,,1,1976
92,,,2,1976
93,1.7721920013427734,-2.8779664039611816,3,1976
94,,,4,1976
95,8.314321517944336,2.4861321449279785,0,1977
96,,,1,1977
97,,,2,1977
98,1.4256319999694824,-4.481862545013428,3,1977
99,,,4,1977
100,-0.24675273895263672,0.9599658250808716,0,1979
101,,,1,1979
102,,,2,1979
103,1.4256319999694824,-4.481862545013428,3,1979
104,,,4,1979
105,10.093360900878906,3.6331515312194824,0,1980
106,,,1,1980
107,,,2,1980
108,,,3,1980
109,,,4,1980
110,10.425761222839355,0.9867942333221436,0,1981
111,,,1,1981
112,,,2,1981
113,,,3,1981
114,,,4,1981
115,10.561646461486816,4.164255142211914,0,1982
116,,,1,1982
117,,,2,1982
118,,,3,1982
119,,,4,1982
120,0.5881232619285583,0.15502327680587769,0,1984
121,,,1,1984
122,,,2,1984
123,,,3,1984
124,,,4,1984
125,11.292890548706055,3.6822192668914795,0,1985
126,,,1,1985
127,,,2,1985
128,,,3,1985
129,,,4,1985
130,11.292890548706055,3.6822192668914795,0,1987
131,4.053999900817871,-6.436592102050781,1,1987
132,,,2,1987
133,,,3,1987
134,,,4,1987
135,-14.173876762390137,-1.7046879529953003,0,1988
136,4.053999900817871,-6.436592102050781,1,1988
137,-3.6673026084899902,8.104508399963379,2,1988
138,,,3,1988
139,,,4,1988
140,2.3974757194519043,1.5169391632080078,0,1991
141,4.263072967529297,-6.47263240814209,1,1991
142,-3.6673026084899902,8.104508399963379,2,1991
143,1.6960188150405884,-3.5547378063201904,3,1991
144,,,4,1991
145,2.649200439453125,1.3529032468795776,0,1992
146,5.975028991699219,-7.544200420379639,1,1992
147,-3.550084114074707,7.670248985290527,2,1992
148,1.3392670154571533,-4.856830596923828,3,1992
149,-3.030545949935913,3.472099781036377,4,1992
150,2.4631435871124268,0.5776556730270386,0,1993
151,2.8610172271728516,-4.405854225158691,1,1993
152,-3.192899703979492,7.4611124992370605,2,1993
153,1.443441390991211,-4.654755115509033,3,1993
154,-2.5803115367889404,2.164424419403076,4,1993
155,2.303708076477051,1.0298324823379517,0,1994
156,5.019947052001953,-6.956650733947754,1,1994
157,-3.3568668365478516,6.417482376098633,2,1994
158,1.4038299322128296,-4.694843769073486,3,1994
159,-2.5803115367889404,2.164424419403076,4,1994
160,6.059388637542725,1.5873229503631592,0,1995
161,6.499308109283447,-7.841428279876709,1,1995
162,-3.350074052810669,7.798247337341309,2,1995
163,1.5164153575897217,-4.375410556793213,3,1995
164,-2.9416186809539795,3.1737074851989746,4,1995
165,4.359797477722168,0.9788235425949097,0,1996
166,5.511926651000977,-7.2184882164001465,1,1996
167,-3.6976327896118164,7.070674419403076,2,1996
168,1.6465855836868286,-3.642413854598999,3,1996
169,-2.7689311504364014,2.7149806022644043,4,1996
170,4.008605003356934,1.2590293884277344,0,1997
171,5.511926651000977,-7.2184882164001465,1,1997
172,-3.68825101852417,7.25653600692749,2,1997
173,1.3090064525604248,-3.5829522609710693,3,1997
174,-2.960883140563965,3.291890859603882,4,1997
175,1.0710378885269165,0.7829006910324097,0,1998
176,3.86506724357605,-6.310774803161621,1,1998
177,-3.6140880584716797,7.758373260498047,2,1998
178,1.7637965679168701,-2.4912571907043457,3,1998
179,-2.960883140563965,3.291890859603882,4,1998
180,4.902453899383545,0.9480783343315125,0,1999
181,3.86506724357605,-6.310774803161621,1,1999
182,-3.0628864765167236,7.49685001373291,2,1999
183,1.7637965679168701,-2.4912571907043457,3,1999
184,,,4,1999
185,8.436782836914062,2.7176148891448975,0,2000
186,,,1,2000
187,-3.7036867141723633,7.15889835357666,2,2000
188,1.5968248844146729,-3.8986268043518066,3,2000
189,,,4,2000
190,2.7762670516967773,0.4643346667289734,0,2001
191,6.424928665161133,-7.772009372711182,1,2001
192,-3.7035884857177734,7.099240779876709,2,2001
193,1.5968248844146729,-3.8986268043518066,3,2001
194,,,4,2001
195,1.0101238489151,0.7900527715682983,0,2002
196,6.747093200683594,-7.998570442199707,1,2002
197,1.2086241245269775,1.2692168951034546,2,2002
198,1.3533776998519897,-5.193387508392334,3,2002
199,,,4,2002
200,-2.534146308898926,0.8927141427993774,0,2003
201,6.756646156311035,-8.002510070800781,1,2003
202,-3.4064221382141113,6.726203441619873,2,2003
203,1.3898085355758667,-5.2871246337890625,3,2003
204,,,4,2003
205,-0.8780993819236755,1.1021400690078735,0,2004
206,6.756646156311035,-8.002510070800781,1,2004
207,-3.9587693214416504,7.836548328399658,2,2004
208,1.5184420347213745,-4.377524375915527,3,2004
209,-2.964832067489624,3.3007497787475586,4,2004
210,-11.257930755615234,-2.085508108139038,0,2005
211,,,1,2005
212,-3.282703399658203,4.876255512237549,2,2005
213,1.5184420347213745,-4.377524375915527,3,2005
214,-3.0497429370880127,3.6257026195526123,4,2005
215,-3.442861557006836,-0.18145513534545898,0,2006
216,6.732578754425049,-7.98832368850708,1,2006
217,-3.8893253803253174,7.6173505783081055,2,2006
218,1.6919528245925903,-3.056274175643921,3,2006
219,-3.0497429370880127,3.6257026195526123,4,2006
220,-7.40509557723999,-0.39047130942344666,0,2007
221,6.18597412109375,-7.559770584106445,1,2007
222,-3.8893253803253174,7.6173505783081055,2,2007
223,1.6919528245925903,-3.056274175643921,3,2007
224,,,4,2007
225,-3.8983101844787598,-0.2763827443122864,0,2008
226,5.023349761962891,-6.66096305847168,1,2008
227,,,2,2008
228,1.777044415473938,-2.1731038093566895,3,2008
229,,,4,2008
230,-5.306979179382324,-0.459868848323822,0,2009
231,6.733511924743652,-7.988189220428467,1,2009
232,,,2,2009
233,1.7089042663574219,-2.779867649078369,3,2009
234,-3.0670857429504395,3.6106255054473877,4,2009
235,-8.520397186279297,-0.9485108256340027,0,2010
236,6.756504535675049,-8.001997947692871,1,2010
237,,,2,2010
238,1.7089042663574219,-2.779867649078369,3,2010
239,-3.0670857429504395,3.6106255054473877,4,2010
240,-3.574327230453491,-0.11904896795749664,0,2011
241,6.756504535675049,-8.001997947692871,1,2011
242,,,2,2011
243,,,3,2011
244,,,4,2011
245,2.3676278591156006,0.6497407555580139,0,2012
246,6.746828079223633,-7.99648904800415,1,2012
247,,,2,2012
248,,,3,2012
249,,,4,2012
250,-5.255303859710693,-0.6976847052574158,0,2013
251,6.746828079223633,-7.99648904800415,1,2013
252,,,2,2013
253,,,3,2013
254,,,4,2013
255,-6.057629585266113,-0.8421375155448914,0,2014
256,,,1,2014
257,,,2,2014
258,,,3,2014
259,,,4,2014
260,-1.7469568252563477,-0.14635208249092102,0,2015
261,,,1,2015
262,,,2,2015
263,,,3,2015
264,,,4,2015
265,-1.7469568252563477,-0.14635208249092102,0,2016
266,,,1,2016
267,,,2,2016
268,,,3,2016
269,-3.0938665866851807,3.489086627960205,4,2016
